Simulation time,plant,
180.880000,135968708.122693,
180.890000,136104744.267199,
180.900000,136240916.519745,
180.910000,136377225.016540,
180.920000,136513669.893927,
180.930000,136650251.288386,
180.940000,136786969.336531,
180.950000,136923824.175113,
180.960000,137060815.941018,
180.970000,137197944.771269,
180.980000,137335210.803025,
180.990000,137472614.173580,
181.000000,137610155.020365,
181.010000,137747833.480949,
181.020000,137885649.693036,
181.030000,138023603.794467,
181.040000,138161695.923219,
181.050000,138299926.217407,
181.060000,138438294.815284,
181.070000,138576801.855239,
181.080000,138715447.475797,
181.090000,138854231.815623,
181.100000,138993155.013518,
181.110000,139132217.208420,
181.120000,139271418.539407,
181.130000,139410759.145693,
181.140000,139550239.166631,
181.150000,139689858.741712,
181.160000,139829618.010564,
181.170000,139969517.112954,
181.180000,140109556.188789,
181.190000,140249735.378113,
181.200000,140390054.821108,
181.210000,140530514.658097,
181.220000,140671115.029540,
181.230000,140811856.076037,
181.240000,140952737.938328,
181.250000,141093760.757289,
181.260000,141234924.673940,
181.270000,141376229.829437,
181.280000,141517676.365076,
181.290000,141659264.422295,
181.300000,141800994.142669,
181.310000,141942865.667915,
181.320000,142084879.139890,
181.330000,142227034.700589,
181.340000,142369332.492151,
181.350000,142511772.656852,
181.360000,142654355.337110,
181.370000,142797080.675485,
181.380000,142939948.814674,
181.390000,143082959.897519,
181.400000,143226114.067002,
181.410000,143369411.466244,
181.420000,143512852.238509,
181.430000,143656436.527202,
181.440000,143800164.475870,
181.450000,143944036.228202,
181.460000,144088051.928026,
181.470000,144232211.719316,
181.480000,144376515.746184,
181.490000,144520964.152886,
181.500000,144665557.083820,
181.510000,144810294.683528,
181.520000,144955177.096690,
181.530000,145100204.468133,
181.540000,145245376.942824,
181.550000,145390694.665875,
181.560000,145536157.782538,
181.570000,145681766.438210,
181.580000,145827520.778431,
181.590000,145973420.948884,
181.600000,146119467.095394,
181.610000,146265659.363932,
181.620000,146411997.900611,
181.630000,146558482.851689,
181.640000,146705114.363564,
181.650000,146851892.582784,
181.660000,146998817.656036,
181.670000,147145889.730153,
181.680000,147293108.952112,
181.690000,147440475.469036,
181.700000,147587989.428190,
181.710000,147735650.976985,
181.720000,147883460.262977,
181.730000,148031417.433866,
181.740000,148179522.637497,
181.750000,148327776.021862,
181.760000,148476177.735095,
181.770000,148624727.925478,
181.780000,148773426.741437,
181.790000,148922274.331544,
181.800000,149071270.844517,
181.810000,149220416.429219,
181.820000,149369711.234661,
181.830000,149519155.409997,
181.840000,149668749.104528,
181.850000,149818492.467704,
181.860000,149968385.649118,
181.870000,150118428.798510,
181.880000,150268622.065769,
181.890000,150418965.600927,
181.900000,150569459.554168,
181.910000,150720104.075817,
181.920000,150870899.316350,
181.930000,151021845.426389,
181.940000,151172942.556704,
181.950000,151324190.858211,
181.960000,151475590.481976,
181.970000,151627141.579209,
181.980000,151778844.301272,
181.990000,151930698.799671,
182.000000,152082705.226062,
182.010000,152234863.732250,
182.020000,152387174.470187,
182.030000,152539637.591972,
182.040000,152692253.249855,
182.050000,152845021.596234,
182.060000,152997942.783655,
182.070000,153151016.964812,
182.080000,153304244.292551,
182.090000,153457624.919863,
182.100000,153611158.999892,
182.110000,153764846.685928,
182.120000,153918688.131413,
182.130000,154072683.489938,
182.140000,154226832.915241,
182.150000,154381136.561214,
182.160000,154535594.581896,
182.170000,154690207.131476,
182.180000,154844974.364295,
182.190000,154999896.434843,
182.200000,155154973.497759,
182.210000,155310205.707836,
182.220000,155465593.220013,
182.230000,155621136.189384,
182.240000,155776834.771191,
182.250000,155932689.120828,
182.260000,156088699.393840,
182.270000,156244865.745922,
182.280000,156401188.332923,
182.290000,156557667.310841,
182.300000,156714302.835826,
182.310000,156871095.064179,
182.320000,157028044.152355,
182.330000,157185150.256958,
182.340000,157342413.534747,
182.350000,157499834.142629,
182.360000,157657412.237668,
182.370000,157815147.977077,
182.380000,157973041.518222,
182.390000,158131093.018622,
182.400000,158289302.635950,
182.410000,158447670.528035,
182.420000,158606196.862773,
182.430000,158764881.807521,
182.440000,158923725.521008,
182.450000,159082728.162122,
182.460000,159241889.889909,
182.470000,159401210.863571,
182.480000,159560691.242472,
182.490000,159720331.186131,
182.500000,159880130.854229,
182.510000,160040090.406602,
182.520000,160200210.003247,
182.530000,160360489.804320,
182.540000,160520929.970135,
182.550000,160681530.661167,
182.560000,160842292.038050,
182.570000,161003214.261575,
182.580000,161164297.492695,
182.590000,161325541.892523,
182.600000,161486947.622332,
182.610000,161648514.843552,
182.620000,161810243.717778,
182.630000,161972134.406762,
182.640000,162134187.072417,
182.650000,162296401.876818,
182.660000,162458778.982198,
182.670000,162621318.550954,
182.680000,162784020.745643,
182.690000,162946885.728982,
182.700000,163109913.663851,
182.710000,163273104.713289,
182.720000,163436459.040499,
182.730000,163599976.808845,
182.740000,163763658.181853,
182.750000,163927503.323210,
182.760000,164091512.396766,
182.770000,164255685.566533,
182.780000,164420022.996685,
182.790000,164584524.851559,
182.800000,164749191.295655,
182.810000,164914022.493635,
182.820000,165079018.610324,
182.830000,165244179.810711,
182.840000,165409506.259948,
182.850000,165574998.123348,
182.860000,165740655.566391,
182.870000,165906478.754719,
182.880000,166072467.854136,
182.890000,166238623.030613,
182.900000,166404944.450284,
182.910000,166571432.279446,
182.920000,166738086.684560,
182.930000,166904907.832255,
182.940000,167071895.889320,
182.950000,167239051.022711,
182.960000,167406373.399549,
182.970000,167573863.187120,
182.980000,167741520.552873,
182.990000,167909345.664426,
183.000000,168077338.689559,
183.010000,168245499.796219,
183.020000,168413829.152518,
183.030000,168582326.926734,
183.040000,168750993.287313,
183.050000,168919828.402863,
183.060000,169088832.442162,
183.070000,169258005.574151,
183.080000,169427347.967941,
183.090000,169596859.792806,
183.100000,169766541.218190,
183.110000,169936392.413702,
183.120000,170106413.549118,
183.130000,170276604.794382,
183.140000,170446966.319604,
183.150000,170617498.295064,
183.160000,170788200.891206,
183.170000,170959074.278644,
183.180000,171130118.628160,
183.190000,171301334.110702,
183.200000,171472720.897389,
183.210000,171644279.159506,
183.220000,171816009.068506,
183.230000,171987910.796013,
183.240000,172159984.513817,
183.250000,172332230.393878,
183.260000,172504648.608326,
183.270000,172677239.329458,
183.280000,172850002.729741,
183.290000,173022938.981812,
183.300000,173196048.258476,
183.310000,173369330.732709,
183.320000,173542786.577657,
183.330000,173716415.966634,
183.340000,173890219.073125,
183.350000,174064196.070786,
183.360000,174238347.133441,
183.370000,174412672.435088,
183.380000,174587172.149892,
183.390000,174761846.452191,
183.400000,174936695.516492,
183.410000,175111719.517475,
183.420000,175286918.629989,
183.430000,175462293.029056,
183.440000,175637842.889869,
183.450000,175813568.387790,
183.460000,175989469.698357,
183.470000,176165546.997277,
183.480000,176341800.460429,
183.490000,176518230.263865,
183.500000,176694836.583808,
183.510000,176871619.596654,
183.520000,177048579.478972,
183.530000,177225716.407503,
183.540000,177403030.559160,
183.550000,177580522.111031,
183.560000,177758191.240374,
183.570000,177936038.124623,
183.580000,178114062.941384,
183.590000,178292265.868436,
183.600000,178470647.083731,
183.610000,178649206.765398,
183.620000,178827945.091735,
183.630000,179006862.241219,
183.640000,179185958.392496,
183.650000,179365233.724390,
183.660000,179544688.415898,
183.670000,179724322.646192,
183.680000,179904136.594617,
183.690000,180084130.440695,
183.700000,180264304.364122,
183.710000,180444658.544769,
183.720000,180625193.162681,
183.730000,180805908.398081,
183.740000,180986804.431364,
183.750000,181167881.443104,
183.760000,181349139.614049,
183.770000,181530579.125123,
183.780000,181712200.157425,
183.790000,181894002.892233,
183.800000,182075987.510998,
183.810000,182258154.195349,
183.820000,182440503.127092,
183.830000,182623034.488208,
183.840000,182805748.460857,
183.850000,182988645.227374,
183.860000,183171724.970273,
183.870000,183354987.872243,
183.880000,183538434.116152,
183.890000,183722063.885045,
183.900000,183905877.362143,
183.910000,184089874.730849,
183.920000,184274056.174740,
183.930000,184458421.877571,
183.940000,184642972.023279,
183.950000,184827706.795975,
183.960000,185012626.379950,
183.970000,185197730.959675,
183.980000,185383020.729591,
183.990000,185568495.887040,
184.000000,185754156.617585,
184.010000,185940003.106936,
184.020000,186126035.540992,
184.030000,186312254.105833,
184.040000,186498658.987727,
184.050000,186685250.373125,
184.060000,186872028.448664,
184.070000,187058993.401168,
184.080000,187246145.417644,
184.090000,187433484.685288,
184.100000,187621011.391478,
184.110000,187808725.723782,
184.120000,187996627.869952,
184.130000,188184718.017927,
184.140000,188372996.355833,
184.150000,188561463.071983,
184.160000,188750118.354875,
184.170000,188938962.393198,
184.180000,189127995.375823,
184.190000,189317217.491812,
184.200000,189506628.930416,
184.210000,189696229.881068,
184.220000,189886020.533395,
184.230000,190076001.077209,
184.240000,190266171.702510,
184.250000,190456532.599487,
184.260000,190647083.958519,
184.270000,190837825.970170,
184.280000,191028758.825197,
184.290000,191219882.714543,
184.300000,191411197.829342,
184.310000,191602704.360916,
184.320000,191794402.500778,
184.330000,191986292.440629,
184.340000,192178374.372360,
184.350000,192370648.488053,
184.360000,192563114.979980,
184.370000,192755774.040603,
184.380000,192948625.862574,
184.390000,193141670.638735,
184.400000,193334908.562121,
184.410000,193528339.825956,
184.420000,193721964.623656,
184.430000,193915783.148827,
184.440000,194109795.595269,
184.450000,194304002.156970,
184.460000,194498403.028112,
184.470000,194692998.403069,
184.480000,194887788.476406,
184.490000,195082773.442881,
184.500000,195277953.497443,
184.510000,195473328.835236,
184.520000,195668899.651594,
184.530000,195864666.142046,
184.540000,196060628.502311,
184.550000,196256786.928306,
184.560000,196453141.616136,
184.570000,196649692.762102,
184.580000,196846440.562700,
184.590000,197043385.214616,
184.600000,197240526.914735,
184.610000,197437865.860131,
184.620000,197635402.248076,
184.630000,197833136.276034,
184.640000,198031068.141664,
184.650000,198229198.042822,
184.660000,198427526.177556,
184.670000,198626052.744110,
184.680000,198824777.940925,
184.690000,199023701.966633,
184.700000,199222825.020067,
184.710000,199422147.300252,
184.720000,199621669.006409,
184.730000,199821390.337958,
184.740000,200021311.494510,
184.750000,200221432.675878,
184.760000,200421754.082067,
184.770000,200622275.913282,
184.780000,200822998.369922,
184.790000,201023921.652585,
184.800000,201225045.962065,
184.810000,201426371.499354,
184.820000,201627898.465640,
184.830000,201829627.062311,
184.840000,202031557.490950,
184.850000,202233689.953341,
184.860000,202436024.651463,
184.870000,202638561.787495,
184.880000,202841301.563815,
184.890000,203044244.182997,
184.900000,203247389.847816,
184.910000,203450738.761245,
184.920000,203654291.126457,
184.930000,203858047.146822,
184.940000,204062007.025911,
184.950000,204266170.967496,
184.960000,204470539.175544,
184.970000,204675111.854227,
184.980000,204879889.207914,
184.990000,205084871.441174,
185.000000,205290058.758778,
185.010000,205495451.365696,
185.020000,205701049.467101,
185.030000,205906853.268362,
185.040000,206112862.975054,
185.050000,206319078.792951,
185.060000,206525500.928028,
185.070000,206732129.586461,
185.080000,206938964.974628,
185.090000,207146007.299111,
185.100000,207353256.766690,
185.110000,207560713.584349,
185.120000,207768377.959276,
185.130000,207976250.098857,
185.140000,208184330.210685,
185.150000,208392618.502552,
185.160000,208601115.182456,
185.170000,208809820.458597,
185.180000,209018734.539376,
185.190000,209227857.633400,
185.200000,209437189.949479,
185.210000,209646731.696625,
185.220000,209856483.084056,
185.230000,210066444.321192,
185.240000,210276615.617659,
185.250000,210486997.183286,
185.260000,210697589.228107,
185.270000,210908391.962361,
185.280000,211119405.596489,
185.290000,211330630.341141,
185.300000,211542066.407169,
185.310000,211753714.005633,
185.320000,211965573.347794,
185.330000,212177644.645124,
185.340000,212389928.109297,
185.350000,212602423.952193,
185.360000,212815132.385900,
185.370000,213028053.622711,
185.380000,213241187.875125,
185.390000,213454535.355849,
185.400000,213668096.277794,
185.410000,213881870.854080,
185.420000,214095859.298034,
185.430000,214310061.823189,
185.440000,214524478.643286,
185.450000,214739109.972273,
185.460000,214953956.024307,
185.470000,215169017.013750,
185.480000,215384293.155175,
185.490000,215599784.663362,
